x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.14,2012-04-14 00:00:00,ON,2012,4,14,7.8,,1.4,,14.1,,,M,,M,,M,,,20,,46,,0,,10.2,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.15,2012-04-15 00:00:00,ON,2012,4,15,16.3,,11.1,,21.4,,,M,,M,,M,,,20,,39,,0,,1.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.16,2012-04-16 00:00:00,ON,2012,4,16,15,,6.4,,23.6,,,M,,M,,M,,,22,,96,,0,,3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.17,2012-04-17 00:00:00,ON,2012,4,17,4.3,,-0.2,,8.8,,,M,,M,,M,,,33,,35,,0,,13.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.18,2012-04-18 00:00:00,ON,2012,4,18,5.9,,-2.3,,14.1,,,M,,M,,M,,,17,,32,,0,,12.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.19,2012-04-19 00:00:00,ON,2012,4,19,13.1,,4.3,,21.9,,,M,,M,,M,,,23,,33,,0,,4.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.20,2012-04-20 00:00:00,ON,2012,4,20,12.7,,3,,22.4,,,M,,M,,M,,,21,,52,,0,,5.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.21,2012-04-21 00:00:00,ON,2012,4,21,4.4,,2,,6.7,,,M,,M,,M,,,35,,39,,0,,13.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.22,2012-04-22 00:00:00,ON,2012,4,22,7.4,,3.3,,11.5,,,M,,M,,M,,,3,,43,,0,,10.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.23,2012-04-23 00:00:00,ON,2012,4,23,6.4,,3.7,,9,,,M,,M,,M,,,33,,80,,0,,11.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.24,2012-04-24 00:00:00,ON,2012,4,24,5.2,,0.5,,9.9,,,M,,M,,M,,,32,,76,,0,,12.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.25,2012-04-25 00:00:00,ON,2012,4,25,7,,-1.3,,15.3,,,M,,M,,M,,,25,,35,,0,,11,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.26,2012-04-26 00:00:00,ON,2012,4,26,8.2,,1.9,,14.4,,,M,,M,,M,,,32,,56,,0,,9.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.27,2012-04-27 00:00:00,ON,2012,4,27,2.8,,-2.3,,7.8,,,M,,M,,M,,,32,,54,,0,,15.2,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.28,2012-04-28 00:00:00,ON,2012,4,28,2.9,,-4.2,,9.9,,,M,,M,,M,,,0,,0,,0,,15.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.29,2012-04-29 00:00:00,ON,2012,4,29,5.9,,-4.7,,16.5,,,M,,M,,M,,,31,,48,,0,,12.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.30,2012-04-30 00:00:00,ON,2012,4,30,5.9,,3.2,,8.6,,,M,,M,,M,,,11,,37,,0,,12.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.1,2012-05-01 00:00:00,ON,2012,5,1,9.5,,6.6,,12.4,,,M,,M,,M,,,34,,32,,0,,8.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.2,2012-05-02 00:00:00,ON,2012,5,2,15.2,,7.4,,23,,,M,,M,,M,,,22,,35,,0,,2.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.3,2012-05-03 00:00:00,ON,2012,5,3,19.2,,9.6,,28.8,,,M,,M,,M,,,20,,54,,1.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.4,2012-05-04 00:00:00,ON,2012,5,4,18.8,,14.7,,22.8,,,M,,M,,M,,,25,,33,,0.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.5,2012-05-05 00:00:00,ON,2012,5,5,13.7,,8.4,,18.9,,,M,,M,,M,,,7,,39,,0,,4.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.6,2012-05-06 00:00:00,ON,2012,5,6,14.3,,7.8,,20.7,,,M,,M,,M,,,8,,33,,0,,3.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.7,2012-05-07 00:00:00,ON,2012,5,7,14,,12.1,,15.9,,,M,,M,,M,,,0,,0,,0,,4,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.8,2012-05-08 00:00:00,ON,2012,5,8,14.1,,10.4,,17.8,,,M,,M,,M,,,29,,33,,0,,3.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.9,2012-05-09 00:00:00,ON,2012,5,9,11.9,,6.2,,17.5,,,M,,M,,M,,,30,,46,,0,,6.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.10,2012-05-10 00:00:00,ON,2012,5,10,9,,3.6,,14.4,,,M,,M,,M,,,32,,52,,0,,9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.11,2012-05-11 00:00:00,ON,2012,5,11,11.9,,2.5,,21.2,,,M,,M,,M,,,29,,37,,0,,6.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.12,2012-05-12 00:00:00,ON,2012,5,12,17.7,,11.5,,23.8,,,M,,M,,M,,,23,,41,,0,,0.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.13,2012-05-13 00:00:00,ON,2012,5,13,13,,5.7,,20.3,,,M,,M,,M,,,0,,0,,0,,5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.14,2012-05-14 00:00:00,ON,2012,5,14,13.2,,3,,23.4,,,M,,M,,M,,,0,,0,,0,,4.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.15,2012-05-15 00:00:00,ON,2012,5,15,14.7,,5.2,,24.2,,,M,,M,,M,,,30,,50,,0,,3.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.16,2012-05-16 00:00:00,ON,2012,5,16,9.3,,2.3,,16.3,,,M,,M,,M,,,33,,52,,0,,8.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.17,2012-05-17 00:00:00,ON,2012,5,17,9.8,,2,,17.6,,,M,,M,,M,,,0,,0,,0,,8.2,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.18,2012-05-18 00:00:00,ON,2012,5,18,13.4,,2.7,,24.1,,,M,,M,,M,,,0,,0,,0,,4.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.19,2012-05-19 00:00:00,ON,2012,5,19,18.1,,8,,28.1,,,M,,M,,M,,,0,,0,,0.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.20,2012-05-20 00:00:00,ON,2012,5,20,19.7,,9.3,,30.1,,,M,,M,,M,,,18,,50,,1.7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.21,2012-05-21 00:00:00,ON,2012,5,21,19.2,,10.8,,27.6,,,M,,M,,M,,,36,,35,,1.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.22,2012-05-22 00:00:00,ON,2012,5,22,14.7,,8.3,,21,,,M,,M,,M,,,31,,32,,0,,3.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.23,2012-05-23 00:00:00,ON,2012,5,23,16.2,,7.3,,25,,,M,,M,,M,,,0,,0,,0,,1.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.24,2012-05-24 00:00:00,ON,2012,5,24,20.5,,13.3,,27.6,,,M,,M,,M,,,13,,43,,2.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.25,2012-05-25 00:00:00,ON,2012,5,25,22.3,,13.9,,30.7,,,M,,M,,M,,,20,,46,,4.3,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.26,2012-05-26 00:00:00,ON,2012,5,26,20.5,,14.6,,26.3,,,M,,M,,M,,,0,,0,,2.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.27,2012-05-27 00:00:00,ON,2012,5,27,18.2,,14.6,,21.8,,,M,,M,,M,,,30,,50,,0.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.28,2012-05-28 00:00:00,ON,2012,5,28,23.5,,15.5,,31.4,,,M,,M,,M,,,19,,46,,5.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.29,2012-05-29 00:00:00,ON,2012,5,29,20.7,,16.2,,25.1,,,M,,M,,M,,,22,,54,,2.7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.30,2012-05-30 00:00:00,ON,2012,5,30,14.7,,8.1,,21.2,,,M,,M,,M,,,30,,32,,0,,3.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.5.31,2012-05-31 00:00:00,ON,2012,5,31,12.6,,6.2,,19,,,M,,M,,M,,,8,,43,,0,,5.4,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.2,2012-06-02 00:00:00,ON,2012,6,2,14.1,,8.8,,19.3,,,M,,M,,M,,,16,,57,,0,,3.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.3,2012-06-03 00:00:00,ON,2012,6,3,14.5,,9,,20,,,M,,M,,M,,,28,,41,,0,,3.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.4,2012-06-04 00:00:00,ON,2012,6,4,13.6,,8.5,,18.6,,,M,,M,,M,,,5,,37,,0,,4.4,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.5,2012-06-05 00:00:00,ON,2012,6,5,14.1,,8.4,,19.8,,,M,,M,,M,,,7,,35,,0,,3.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.6,2012-06-06 00:00:00,ON,2012,6,6,15.4,,8.2,,22.5,,,M,,M,,M,,,29,,39,,0,,2.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.7,2012-06-07 00:00:00,ON,2012,6,7,17.4,,10.2,,24.6,,,M,,M,,M,,,29,,41,,0,,0.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.8,2012-06-08 00:00:00,ON,2012,6,8,18.4,,9.6,,27.1,,,M,,M,,M,,,29,,43,,0.4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.9,2012-06-09 00:00:00,ON,2012,6,9,22.2,,16.3,,28,,,M,,M,,M,,,20,,37,,4.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.10,2012-06-10 00:00:00,ON,2012,6,10,22.7,,14,,31.3,,,M,,M,,M,,,19,,33,,4.7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.11,2012-06-11 00:00:00,ON,2012,6,11,22.4,,16.7,,28.1,,,M,,M,,M,,,17,,44,,4.4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.12,2012-06-12 00:00:00,ON,2012,6,12,17.5,,9.6,,25.3,,,M,,M,,M,,,30,,44,,0,,0.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.13,2012-06-13 00:00:00,ON,2012,6,13,14.8,,7.5,,22,,,M,,M,,M,,,34,,39,,0,,3.2,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.14,2012-06-14 00:00:00,ON,2012,6,14,16.3,,7.5,,25.1,,,M,,M,,M,,,10,,41,,0,,1.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.15,2012-06-15 00:00:00,ON,2012,6,15,20.1,,12.1,,28.1,,,M,,M,,M,,,15,,56,,2.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.16,2012-06-16 00:00:00,ON,2012,6,16,22.1,,15.5,,28.6,,,M,,M,,M,,,15,,46,,4.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.17,2012-06-17 00:00:00,ON,2012,6,17,21.4,,17.8,,24.9,,,M,,M,,M,,,18,,41,,3.4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.18,2012-06-18 00:00:00,ON,2012,6,18,22.6,,17.1,,28,,,M,,M,,M,,,19,,37,,4.6,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.19,2012-06-19 00:00:00,ON,2012,6,19,26.9,,21.1,,32.7,,,M,,M,,M,,,22,,37,,8.9,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.20,2012-06-20 00:00:00,ON,2012,6,20,27.8,,22.6,,33,,,M,,M,,M,,,23,,44,,9.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.21,2012-06-21 00:00:00,ON,2012,6,21,25.5,,18,,32.9,,,M,,M,,M,,,2,,61,,7.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.22,2012-06-22 00:00:00,ON,2012,6,22,20.2,,15,,25.4,,,M,,M,,M,,,32,,33,,2.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.23,2012-06-23 00:00:00,ON,2012,6,23,19.1,,12.6,,25.5,,,M,,M,,M,,,0,,0,,1.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.24,2012-06-24 00:00:00,ON,2012,6,24,20.6,,14.6,,26.6,,,M,,M,,M,,,35,,43,,2.6,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.25,2012-06-25 00:00:00,ON,2012,6,25,16.3,,11.9,,20.6,,,M,,M,,M,,,1,,48,,0,,1.7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.26,2012-06-26 00:00:00,ON,2012,6,26,17.9,,11.6,,24.1,,,M,,M,,M,,,34,,52,,0,,0.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.27,2012-06-27 00:00:00,ON,2012,6,27,20.2,,11.9,,28.4,,,M,,M,,M,,,30,,35,,2.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.28,2012-06-28 00:00:00,ON,2012,6,28,23.9,,15.8,,31.9,,,M,,M,,M,,,0,,0,,5.9,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.29,2012-06-29 00:00:00,ON,2012,6,29,25,,18.6,,31.3,,,M,,M,,M,,,28,,43,,7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.6.30,2012-06-30 00:00:00,ON,2012,6,30,23.8,,16,,31.6,,,M,,M,,M,,,30,,44,,5.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.1,2012-07-01 00:00:00,ON,2012,7,1,21.6,,14.7,,28.5,,,M,,M,,M,,,13,,50,,3.6,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.2,2012-07-02 00:00:00,ON,2012,7,2,22,,13.1,,30.8,,,M,,M,,M,,,13,,33,,4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.3,2012-07-03 00:00:00,ON,2012,7,3,21.8,,17.2,,26.3,,,M,,M,,M,,,13,,41,,3.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.4,2012-07-04 00:00:00,ON,2012,7,4,25.7,,18.1,,33.2,,,M,,M,,M,,,13,,46,,7.7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.5,2012-07-05 00:00:00,ON,2012,7,5,25.2,,20.2,,30.2,,,M,,M,,M,,,13,,44,,7.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.6,2012-07-06 00:00:00,ON,2012,7,6,26.2,,20.1,,32.3,,,M,,M,,M,,,13,,33,,8.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.7,2012-07-07 00:00:00,ON,2012,7,7,24.4,,17.4,,31.4,,,M,,M,,M,,,13,,46,,6.4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.8,2012-07-08 00:00:00,ON,2012,7,8,21.1,,13.6,,28.6,,,M,,M,,M,,,13,,56,,3.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.9,2012-07-09 00:00:00,ON,2012,7,9,19.8,,11.8,,27.8,,,M,,M,,M,,,0,,0,,1.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.10,2012-07-10 00:00:00,ON,2012,7,10,19.9,,12.3,,27.4,,,M,,M,,M,,,13,,32,,1.9,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.12,2012-07-12 00:00:00,ON,2012,7,12,21.2,,11.8,,30.5,,,M,,M,,M,,,1,,33,,3.2,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.13,2012-07-13 00:00:00,ON,2012,7,13,23.4,,15.4,,31.3,,,M,,M,,M,,,13,,37,,5.4,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.14,2012-07-14 00:00:00,ON,2012,7,14,21.9,,15.7,,28.1,,,M,,M,,M,,,13,,35,,3.9,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.15,2012-07-15 00:00:00,ON,2012,7,15,24.1,,19.4,,28.7,,,M,,M,,M,,,13,,39,,6.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.16,2012-07-16 00:00:00,ON,2012,7,16,24.3,,17.4,,31.1,,,M,,M,,M,,,13,,35,,6.3,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.17,2012-07-17 00:00:00,ON,2012,7,17,28.5,,22.2,,34.8,,,M,,M,,M,,,13,,48,,10.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.18,2012-07-18 00:00:00,ON,2012,7,18,24.3,,19,,29.5,,,M,,M,,M,,,13,,41,,6.3,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.19,2012-07-19 00:00:00,ON,2012,7,19,19.5,,17,,22,,,M,,M,,M,,,7,,35,,1.5,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.20,2012-07-20 00:00:00,ON,2012,7,20,18.1,,10.4,,25.8,,,M,,M,,M,,,6,,44,,0.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.21,2012-07-21 00:00:00,ON,2012,7,21,18.8,,9.8,,27.8,,,M,,M,,M,,,13,,32,,0.8,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.22,2012-07-22 00:00:00,ON,2012,7,22,24.7,,18.2,,31.1,,,M,,M,,M,,,13,,39,,6.7,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.7.23,2012-07-23 00:00:00,ON,2012,7,23,26.5,,20.2,,32.7,,,M,,M,,M,,,20,,57,,8.5,,0,,,,,
